smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
O=C(NCc1ccccc1)[C@H]1CCCN(C2CCCCC2)C1,-9.4002,-6.1564,3.2438,-0.529,xtb_success
COc1cc(Cc2ccc(-c3cc(C(=O)CCC(N)=O)ccn3)cc2)ccn1,-10.2207,-8.1485,2.0722,-0.54,xtb_success
NC(=O)CCCc1csc(CCc2ccc(CCC(N)=O)cc2)n1,-10.4287,-6.9613,3.4674,-0.533,xtb_success
O=C(Cc1ccccc1C(=O)NC1CCOCC1)OCc1c(F)cccc1F,-10.7566,-7.1192,3.6375,-0.533,xtb_success
Cc1sc(NC(=O)Cc2ccc(C(=O)OC(C)C)cc2)c(CC(N)=O)c1C,-10.1905,-7.6679,2.5227,-0.543,xtb_success
C#COc1ccc(-c2ccc(CCC)cc2)c([C@@H]2CCS(=O)(=O)C2)c1,-10.2551,-6.5324,3.7227,-0.643,xtb_success
COCCc1ccc(-c2ccc(-c3c(OC)cccc3OC)o2)o1,-9.5683,-6.907,2.6613,-0.347,xtb_success
CCCCCc1ccnc(-c2cc(CC[NH3+])c(O)c(OC)c2)c1,-6.15,-5.2471,0.9029,-0.451,xtb_success
COCCc1cc(Cc2ccc(Cc3cc(OC)ccn3)cc2)ccn1,-9.955,-6.6126,3.3424,-0.346,xtb_success
COCCc1ccc(Cc2ccc(CCC3CC[NH+](C)CC3)cc2)cc1,-5.3115,-4.967,0.3445,-0.34,xtb_success
COCc1nc(-c2ccc(-c3nc(OC)cs3)cc2)cs1,-10.1655,-7.8643,2.3012,-0.339,xtb_success
C[NH+]1CCC(N(CCC2CCCCC2)C(=O)c2ccc(C(C)(C)C)cc2)CC1,-6.3547,-4.9008,1.4539,-0.669,xtb_success
COc1cc([C@@H]2C[C@H]2C(=O)N2CCC(C(=O)[O-])CC2)cc(C2(O)CCCCC2)c1,-10.3569,-6.3474,4.0095,-0.501,xtb_success
COc1cc(Cc2scc(C=O)c2C(C)(C)C)cc(OC)c1,-10.2149,-7.9164,2.2985,-0.443,xtb_success
NC(=O)CCc1ccc(-c2cc(C(F)F)ccn2)cc1C(F)F,-10.4183,-7.5892,2.8291,-0.539,xtb_success
COCc1ccc(Cc2ccc(Cc3cc(CCCC(N)=O)ccn3)cc2)cc1,-9.9709,-6.6163,3.3547,-0.539,xtb_success
COc1ccc(Cc2nc(-c3ccc(OC)cc3)cs2)cc1,-10.0342,-7.1061,2.9281,-0.304,xtb_success
COCCc1cc(-c2cc(-c3cc(OC)ccn3)ccn2)ccn1,-10.0073,-7.601,2.4063,-0.349,xtb_success
